store_id,timezone_str
1.4724E+18,America/Denver
1.4724E+18,America/Denver
1.4724E+18,America/Denver
4.91396E+18,America/Denver
7.00102E+18,America/Denver
3.33425E+18,America/Denver
3.33425E+18,America/Denver
3.33425E+18,America/Denver
3.33425E+18,America/Denver
3.33425E+18,America/Denver
7.90253E+18,America/Denver
7.90253E+18,America/Denver
7.90253E+18,America/Denver
7.90253E+18,America/Denver
7.90253E+18,America/Denver
7.90253E+18,America/Denver
7.90253E+18,America/Denver
7.60311E+18,America/Denver
7.60311E+18,America/Denver
7.60311E+18,America/Denver
7.60311E+18,America/Denver
7.60311E+18,America/Denver
7.60311E+18,America/Denver
7.60311E+18,America/Denver
5.18311E+17,America/Denver
5.18311E+17,America/Denver
5.18311E+17,America/Denver
5.18311E+17,America/Denver
5.18311E+17,America/Denver
5.18311E+17,America/Denver
5.18311E+17,America/Denver
2.37847E+18,America/Denver
2.37847E+18,America/Denver
7.11203E+18,America/Denver
7.11203E+18,America/Denver
7.11203E+18,America/Denver
7.11203E+18,America/Denver
7.11203E+18,America/Denver
7.11203E+18,America/Denver
7.11203E+18,America/Denver
1.1764E+18,America/Denver
1.1764E+18,America/Denver
1.1764E+18,America/Denver
1.1764E+18,America/Denver
1.1764E+18,America/Denver
1.1764E+18,America/Denver
3.30852E+18,America/Denver
3.30852E+18,America/Denver
3.30852E+18,America/Denver
3.30852E+18,America/Denver
6.35885E+18,America/Denver
6.35885E+18,America/Denver
6.35885E+18,America/Denver
6.35885E+18,America/Denver
6.35885E+18,America/Denver
6.35885E+18,America/Denver
6.35885E+18,America/Denver
1.0032E+18,America/Denver
1.0032E+18,America/Denver
1.0032E+18,America/Denver
1.0032E+18,America/Denver
6.6169E+18,America/Denver
6.6169E+18,America/Denver
6.6169E+18,America/Denver
6.6169E+18,America/Denver
6.6169E+18,America/Denver
6.6169E+18,America/Denver
6.6169E+18,America/Denver
6.13256E+18,America/Denver
6.13256E+18,America/Denver
6.13256E+18,America/Denver
6.13256E+18,America/Denver
6.13256E+18,America/Denver
6.13256E+18,America/Denver
6.13256E+18,America/Denver
7.45462E+18,America/Denver
7.45462E+18,America/Denver
7.45462E+18,America/Denver
7.45462E+18,America/Denver
7.45462E+18,America/Denver
7.45462E+18,America/Denver
7.45462E+18,America/Denver
5.14449E+18,America/Denver
2.60465E+17,America/Denver
8.7253E+18,America/Denver
8.7253E+18,America/Denver
8.7253E+18,America/Denver
8.7253E+18,America/Denver
8.7253E+18,America/Denver
8.7253E+18,America/Denver
8.7253E+18,America/Denver
8.32121E+18,America/Denver
8.32121E+18,America/Denver
8.32121E+18,America/Denver
8.32121E+18,America/Denver
8.32121E+18,America/Denver
8.32121E+18,America/Denver
8.32121E+18,America/Denver
7.47547E+18,America/Denver
7.47547E+18,America/Denver
7.47547E+18,America/Denver
7.47547E+18,America/Denver
7.47547E+18,America/Denver
7.47547E+18,America/Denver
7.47547E+18,America/Denver
2.68092E+18,America/Denver
3.12075E+18,America/Denver
3.12075E+18,America/Denver
3.12075E+18,America/Denver
3.12075E+18,America/Denver
3.12075E+18,America/Denver
3.12075E+18,America/Denver
